0: anime
1: anime---animeost
2: avantgarde
3: avantgarde---computermusic
4: avantgarde---conceptualart
5: avantgarde---experimental
6: avantgarde---freeimprovisation
7: avantgarde---improvisation
8: avantgarde---improvisedmusic
9: avantgarde---microtonal
10: avantgarde---minimalism
11: avantgarde---mixedmedia
12: avantgarde---moderncomposition
13: avantgarde---noise
14: avantgarde---postminimalism
15: avantgarde---soundart
16: avantgarde---soundsculpture
17: avantgarde---structuredimprovisation
18: avantgarde---tapemusic
19: blues
20: blues---acousticblues
21: blues---acousticchicagoblues
22: blues---acousticmemphisblues
23: blues---acoustictexasblues
24: blues---bluesgospel
25: blues---bluesrevival
26: blues---chicagoblues
27: blues---classicblues
28: blues---classicfemaleblues
29: blues---contemporaryblues
30: blues---countryblues
31: blues---deltablues
32: blues---detroitblues
33: blues---earlyacousticblues
34: blues---earlyamericanblues
35: blues---eastcoastblues
36: blues---electricblues
37: blues---electricchicagoblues
38: blues---electriccountryblues
39: blues---electricdeltablues
40: blues---electricharmonicablues
41: blues---electrictexasblues
42: blues---folkblues
43: blues---harmonicablues
44: blues---jazzblues
45: blues---jukejointblues
46: blues---jumpblues
47: blues---jumpbluespianoblues
48: blues---louisianablues
49: blues---memphisblues
50: blues---modernacousticblues
51: blues---modernblues
52: blues---moderndeltablues
53: blues---modernelectricblues
54: blues---modernelectricchicagoblues
55: blues---modernelectrictexasblues
56: blues---neworleansblues
57: blues---pianoblues
58: blues---piedmontblues
59: blues---prewarblues
60: blues---prewarcountryblues
61: blues---prewargospelblues
62: blues---regionalblues
63: blues---rhythmblues
64: blues---slideguitarblues
65: blues---songster
66: blues---soulblues
67: blues---swampblues
68: blues---texasblues
69: blues---urbanblues
70: blues---vaudevilleblues
71: blues---westcoastblues
72: blues---worksongs
73: brassmilitary
74: brassmilitary---brassband
75: brassmilitary---military
76: brazilian
77: brazilian---mpb
78: brazilian---samba
79: celtic
80: childrens
81: childrens---childrensfolk
82: childrens---childrenspop
83: childrens---childrensrock
84: childrens---educational
85: childrens---lullabies
86: childrens---singalongs
87: childrens---toddlerandbabymusic
88: chillout
89: christian
90: christian---christianrock
91: christian---contemporarychristian
92: christmasholiday
93: christmasholiday---holiday
94: classical
95: classical---avantgardemusic
96: classical---ballet
97: classical---bandmusic
98: classical---baroque
99: classical---chambermusic
100: classical---choral
101: classical---classical
102: classical---classicalcrossover
103: classical---classicalsoloinstrumental
104: classical---classicalvocal
105: classical---concerto
106: classical---contemporary
107: classical---contemporaryclassical
108: classical---early
109: classical---electroniccomputermusic
110: classical---filmscore
111: classical---impressionist
112: classical---keyboard
113: classical---medieval
114: classical---miscellaneousclassical
115: classical---modern
116: classical---modernclassical
117: classical---neoclassical
118: classical---neoromantic
119: classical---opera
120: classical---orchestral
121: classical---piano
122: classical---postmodern
123: classical---renaissance
124: classical---romantic
125: classical---showmusical
126: classical---symphony
127: classical---vocalmusic
128: comedy
129: comedy---comedyrock
130: comedy---humor
131: comedy---standupcomedy
132: comedyspoken
133: comedyspoken---beatpoetry
134: comedyspoken---comedy
135: comedyspoken---comedyrock
136: comedyspoken---countrycomedy
137: comedyspoken---musicalcomedy
138: comedyspoken---musiccomedy
139: comedyspoken---novelty
140: comedyspoken---observationalhumor
141: comedyspoken---poetry
142: comedyspoken---politicalcomedy
143: comedyspoken---satire
144: comedyspoken---sketchcomedy
145: comedyspoken---songparody
146: comedyspoken---spokencomedy
147: comedyspoken---spokenword
148: comedyspoken---standupcomedy
149: country
150: country---altcountry
151: country---alternativecountry
152: country---americana
153: country---bakersfieldsound
154: country---bluegrass
155: country---bluegrassgospel
156: country---classiccountry
157: country---closeharmony
158: country---contemporarybluegrass
159: country---contemporarycountry
160: country---countryboogie
161: country---countryfolk
162: country---countrygospel
163: country---countrypop
164: country---countryrock
165: country---cowboy
166: country---honkytonk
